score,rank,ethnicity,gender,language,age,cls_perc_eval,cls_students,bty_f1lower,bty_f1upper,bty_f2upper,bty_m1lower,bty_m1upper,bty_m2upper,bty_avg
4.9,tenure track,not minority,male,english,43,84.61539,26,3,4,4,2,4,4,3.5
4.4,tenure track,not minority,male,english,43,60,30,3,4,4,2,4,4,3.5
4.6,tenure track,not minority,male,english,43,100,14,3,4,4,2,4,4,3.5
4.6,teaching,minority,male,english,50,70.83334,24,1,5,4,1,4,5,3.333
5,teaching,minority,male,english,50,90.90909,22,1,5,4,1,4,5,3.333
4.9,teaching,minority,male,english,50,84,25,1,5,4,1,4,5,3.333
4.6,teaching,minority,male,english,50,88.46154,26,1,5,4,1,4,5,3.333
4.8,teaching,minority,male,english,50,86.36364,22,1,5,4,1,4,5,3.333
4.9,teaching,minority,male,english,50,76.92308,26,1,5,4,1,4,5,3.333
4.9,teaching,minority,male,english,50,85,20,1,5,4,1,4,5,3.333
4.9,teaching,minority,male,english,50,81.81818,22,1,5,4,1,4,5,3.333
5,teaching,minority,male,english,50,95.2381,21,1,5,4,1,4,5,3.333
4.5,teaching,minority,male,english,50,90.47619,21,1,5,4,1,4,5,3.333
3.5,tenured,not minority,male,english,52,66.66666,69,7,6,6,5,5,6,5.833
3.8,tenured,not minority,male,english,52,70.76923,65,7,6,6,5,5,6,5.833
3.9,tenured,not minority,male,english,52,62.90322,62,7,6,6,5,5,6,5.833
3.9,tenured,not minority,male,english,52,50.74627,67,7,6,6,5,5,6,5.833
4.2,tenured,not minority,male,english,52,72.5,40,7,6,6,5,5,6,5.833
4.1,tenured,not minority,male,english,52,60,45,7,6,6,5,5,6,5.833
4.8,tenured,not minority,male,english,51,60.62718,574,6,7,8,6,6,4,6.167
4.8,tenured,not minority,male,english,51,64.2487,579,6,7,8,6,6,4,6.167
4.8,tenured,not minority,male,english,51,63.87337,537,6,7,8,6,6,4,6.167
4.8,tenured,not minority,male,english,51,65.40447,581,6,7,8,6,6,4,6.167
4.9,tenured,not minority,male,english,51,61.10057,527,6,7,8,6,6,4,6.167
4.2,tenured,not minority,male,english,38,50.57471,87,3,4,4,2,3,4,3.333
4.5,tenured,not minority,male,english,38,78.57143,84,3,4,4,2,3,4,3.333
3.9,tenured,not minority,male,english,38,50.63291,79,3,4,4,2,3,4,3.333
4.4,tenured,not minority,male,english,38,65.21739,92,3,4,4,2,3,4,3.333
4,tenured,not minority,female,english,47,79.16666,24,5,7,6,3,6,4,5.167
3.6,tenured,not minority,female,english,47,56.71642,67,5,7,6,3,6,4,5.167
3.7,tenured,minority,female,english,43,45.63107,103,5,6,4,2,4,4,4.167
2.7,tenured,minority,female,english,43,48.94737,190,5,6,4,2,4,4,4.167
4.5,teaching,not minority,female,english,38,48.52941,68,3,4,2,1,3,2,2.5
4.4,teaching,not minority,female,english,38,60,60,3,4,2,1,3,2,2.5
3.9,teaching,not minority,female,english,38,45.3125,64,3,4,2,1,3,2,2.5
3.6,teaching,not minority,female,english,38,74.19355,31,3,4,2,1,3,2,2.5
4.4,teaching,not minority,female,english,38,58.06452,62,3,4,2,1,3,2,2.5
4.4,teaching,not minority,female,english,38,81.08108,37,3,4,2,1,3,2,2.5
4.7,tenured,not minority,male,english,43,76.92308,13,4,4,5,4,4,5,4.333
4.5,tenured,not minority,male,english,43,61.53846,13,4,4,5,4,4,5,4.333
4.1,tenured,not minority,male,english,43,80,15,4,4,5,4,4,5,4.333
3.7,tenured,not minority,male,english,43,82.27848,79,4,4,5,4,4,5,4.333
4.3,tenured,not minority,male,english,57,53.84615,13,3,4,3,2,3,3,3
3.5,tenured,not minority,male,english,57,54.08163,98,3,4,3,2,3,3,3
3.7,tenured,not minority,male,english,57,59.79382,97,3,4,3,2,3,3,3
4,tenured,not minority,female,english,51,81.81818,11,5,8,5,6,8,6,6.333
4,tenured,not minority,female,english,51,85.89744,78,5,8,5,6,8,6,6.333
3.1,tenured,not minority,female,english,51,64.28571,56,5,8,5,6,8,6,6.333
4.5,tenured,not minority,female,english,51,85,20,5,8,5,6,8,6,6.333
4.8,teaching,not minority,male,english,45,70.58823,17,1,4,2,5,4,4,3.333
4.2,teaching,not minority,male,english,45,85,20,1,4,2,5,4,4,3.333
4.9,teaching,not minority,male,english,45,68.42105,19,1,4,2,5,4,4,3.333
4.8,teaching,not minority,male,english,45,73.07692,26,1,4,2,5,4,4,3.333
3.5,tenured,not minority,male,english,57,92.85714,14,2,3,3,2,1,6,2.833
3.6,tenured,not minority,male,english,57,66.66666,18,2,3,3,2,1,6,2.833
4.4,tenured,not minority,male,english,57,100,12,2,3,3,2,1,6,2.833
3.4,tenured,not minority,male,english,57,84.21053,19,2,3,3,2,1,6,2.833
3.9,tenured,not minority,male,english,57,75,16,2,3,3,2,1,6,2.833
3.8,tenured,not minority,male,english,57,87.5,16,2,3,3,2,1,6,2.833
4.8,tenured,not minority,male,english,57,91.66666,12,2,3,3,2,1,6,2.833
4.6,tenured,not minority,male,english,57,88.23529,17,2,3,3,2,1,6,2.833
5,tenured,not minority,male,english,57,40,15,2,3,3,2,1,6,2.833
3.8,tenured,not minority,male,english,57,93.75,16,2,3,3,2,1,6,2.833
4.2,tenured,not minority,male,english,57,70.58823,17,2,3,3,2,1,6,2.833
3.3,teaching,not minority,female,english,47,76.19048,21,8,6,6,4,9,7,6.667
4.7,teaching,not minority,female,english,47,88.23529,17,8,6,6,4,9,7,6.667
4.6,teaching,not minority,female,english,47,100,10,8,6,6,4,9,7,6.667
4.6,teaching,not minority,female,english,47,94.11765,17,8,6,6,4,9,7,6.667
4,teaching,not minority,female,english,47,88.23529,17,8,6,6,4,9,7,6.667
4.2,tenured,minority,female,english,54,100,18,8,5,8,4,9,7,6.833
4.9,tenured,minority,female,english,54,93.75,16,8,5,8,4,9,7,6.833
4.5,tenured,minority,female,english,54,80.76923,26,8,5,8,4,9,7,6.833
4.8,tenured,minority,female,english,54,77.77778,18,8,5,8,4,9,7,6.833
3.8,tenured,minority,female,english,54,80,20,8,5,8,4,9,7,6.833
4.8,teaching,not minority,male,english,58,94.11765,17,8,8,9,6,8,8,7.833
5,teaching,not minority,male,english,58,100,21,8,8,9,6,8,8,7.833
5,teaching,not minority,male,english,58,85.71429,21,8,8,9,6,8,8,7.833
4.9,teaching,not minority,male,english,58,85,20,8,8,9,6,8,8,7.833
4.6,teaching,not minority,male,english,58,95,20,8,8,9,6,8,8,7.833
5,teaching,not minority,male,english,58,84.61539,13,8,8,9,6,8,8,7.833
4.8,teaching,not minority,male,english,58,87.5,16,8,8,9,6,8,8,7.833
4.9,teaching,not minority,male,english,58,94.11765,17,8,8,9,6,8,8,7.833
4.9,tenured,not minority,male,english,42,83.33334,18,8,7,10,6,8,8,7.833
3.9,tenured,not minority,male,english,42,91.66666,24,8,7,10,6,8,8,7.833
3.9,tenured,not minority,male,english,42,85,20,8,7,10,6,8,8,7.833
4.5,tenure track,not minority,male,english,33,70.83334,120,6,7,6,5,6,5,5.833
4.5,tenure track,not minority,male,english,33,43.22581,155,6,7,6,5,6,5,5.833
3.3,tenured,not minority,male,english,62,28.94737,38,1,1,1,4,1,4,2
3.1,tenured,not minority,male,english,62,40,70,1,1,1,4,1,4,2
2.8,tenured,not minority,male,english,62,40.9396,149,1,1,1,4,1,4,2
3.1,tenured,not minority,male,english,62,35.76642,137,1,1,1,4,1,4,2
4.2,tenured,not minority,male,english,62,44.82759,29,1,1,1,4,1,4,2
3.4,tenured,not minority,male,english,62,50.90909,55,1,1,1,4,1,4,2
3,tenured,not minority,male,english,62,49.26471,136,1,1,1,4,1,4,2
3.3,tenure track,minority,female,english,35,62.5,96,7,9,10,6,7,8,7.833
3.6,tenure track,minority,female,english,35,33.33333,60,7,9,10,6,7,8,7.833
3.7,tenure track,minority,female,english,35,39.81482,108,7,9,10,6,7,8,7.833
3.6,tenured,not minority,male,english,61,69.23077,39,3,2,7,1,3,4,3.333
4.3,tenured,not minority,male,english,61,86.66666,15,3,2,7,1,3,4,3.333
4.1,tenured,not minority,female,english,52,54.95496,111,4,8,5,3,4,3,4.5
4.9,tenured,not minority,female,english,52,82.35294,17,4,8,5,3,4,3,4.5
4.8,tenured,not minority,female,english,52,100,19,4,8,5,3,4,3,4.5
3.7,tenure track,not minority,female,non-english,60,85.18519,27,4,6,6,2,3,5,4.333
3.9,tenure track,not minority,female,non-english,60,94.73684,19,4,6,6,2,3,5,4.333
4.5,tenure track,not minority,female,non-english,60,84.61539,13,4,6,6,2,3,5,4.333
3.6,tenure track,not minority,female,non-english,60,94.73684,19,4,6,6,2,3,5,4.333
4.4,tenure track,not minority,female,non-english,60,50,22,4,6,6,2,3,5,4.333
3.4,tenure track,not minority,female,non-english,60,35,20,4,6,6,2,3,5,4.333
4.4,tenure track,not minority,female,non-english,60,88.88889,27,4,6,6,2,3,5,4.333
4.5,tenure track,not minority,male,english,32,74.24242,132,6,6,9,7,8,5,6.833
4.5,tenure track,not minority,male,english,32,87.40157,127,6,6,9,7,8,5,6.833
4.5,tenure track,not minority,male,english,32,72.94118,85,6,6,9,7,8,5,6.833
4.6,tenure track,not minority,male,english,32,75.24753,101,6,6,9,7,8,5,6.833
4.1,tenure track,not minority,male,english,32,42.85714,21,6,6,9,7,8,5,6.833
4.5,tenure track,not minority,male,english,32,60.46511,86,6,6,9,7,8,5,6.833
3.5,tenure track,minority,female,non-english,42,57.14286,84,3,8,7,4,6,4,5.333
4.4,tenure track,minority,female,non-english,42,77.61194,67,3,8,7,4,6,4,5.333
4.4,tenure track,minority,female,non-english,42,81.81818,66,3,8,7,4,6,4,5.333
4.1,tenure track,minority,female,non-english,42,80,35,3,8,7,4,6,4,5.333
